"","actor_1_facebook_likes","gross","num_user_for_reviews","budget","actor_2_facebook_likes","imdb_score"
"1419",933,30688364,211,2.8e+07,194,6.2
"331",596,56114221,695,1.2e+08,360,4.3
"161",17000,177343675,214,1.35e+08,523,6.7
"2918",710,603943,154,5e+05,634,7.3
"63",5000,102176165,501,1.45e+08,3000,5.2
"1725",11000,31838002,281,2e+07,896,7.6
"2820",10000,80033643,448,6e+07,3000,7
"2192",4000,25776062,271,1.2e+07,1000,7.4
"2250",14000,10214647,204,1.1e+07,1000,7.1
"2597",847,6755271,131,5e+06,591,5.3
"855",2000,6291602,91,5e+07,602,5.6
"2323",939,7563670,53,1e+07,702,5.2
"81",890,102315545,520,1.65e+08,812,5.5
"1257",1000,13763130,187,3.2e+07,561,6.3
"1372",596,18298649,242,3e+07,343,6.4
"2153",3000,1712111,53,8495000,1000,4.5
"2527",17000,3588432,93,6e+06,1000,6.7
"2460",1000,12583510,922,7e+06,340,6
"1350",18000,24048000,88,3e+07,723,5.5
"136",957,110332737,258,1e+08,550,6.1
"435",23000,127083765,370,7.6e+07,787,5.9
"1266",11000,87100000,200,3.1e+07,920,7.2
"1593",11000,28871190,385,2.4e+07,1000,7.3
"188",11000,131920333,436,1.3e+08,2000,5.6
"622",2000,74540762,323,5.5e+07,1000,6.5
