"","lettr","x.box","y.box","width","high","onpix","x.bar","y.bar","x2bar","y2bar","xybar","x2ybr","xy2br","x.ege","xegvy","y.ege","yegvx"
"17155","A",2,5,4,4,2,7,2,2,2,6,2,8,2,7,2,7
"9151","P",2,1,2,1,1,5,11,7,2,9,6,4,1,9,3,8
"19989","P",2,1,3,2,1,4,10,3,5,10,8,5,0,9,3,7
"1167","L",3,6,3,4,1,0,1,6,6,0,1,5,0,8,0,8
"3586","I",1,11,0,8,1,7,7,5,3,7,6,8,0,8,0,8
"9723","E",3,7,5,5,5,5,7,3,6,7,6,12,2,10,8,6
"14410","D",5,5,6,8,3,5,7,10,10,7,6,6,3,8,4,8
"14513","R",3,5,5,4,4,8,7,4,5,9,4,7,3,7,4,10
"1443","E",5,9,7,6,5,7,8,1,8,11,6,9,3,8,4,9
"17332","G",6,8,8,6,7,7,10,6,5,6,6,8,5,6,7,7
"9598","R",4,9,6,7,8,7,9,3,5,5,6,9,5,8,8,7
"19964","E",3,9,3,6,2,3,6,6,10,7,7,14,0,8,7,8
"3699","S",4,9,5,7,3,8,8,6,9,5,6,6,0,8,9,7
"14739","S",5,10,6,8,3,9,8,6,9,5,6,5,0,8,9,7
"13991","I",2,6,3,4,1,7,7,0,7,13,6,8,0,8,1,8
"3727","O",4,8,5,6,4,7,8,8,4,7,7,8,3,8,3,8
"17457","N",11,15,9,8,4,7,10,5,5,4,5,11,6,11,2,6
